Timestamp,Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
2022-11-14 20:35:57.063360,L,0.08490252494812012,10,10,30.0,-2.5822895335121435e-11,0.14742955977708055,0,400.4287896818224,-118.33652664515115,0,15.0,0.0,True
2022-11-14 20:35:57.163307,L,0.09331393241882324,10,10,30.0,0.12406140681325649,0.15005518143020438,0,369.04814667287184,-120.84000794734187,0,15.0,0.0,True
2022-11-14 20:35:57.265206,L,0.08254027366638184,10,10,30.0,15.350855198068242,0.15160067546839426,0,170.43014638507793,-122.45170388124055,0,15.0,0.0,True
2022-11-14 20:35:57.330989,L,0.07762002944946289,10,10,30.0,26.54935955233223,0.14812622649410062,0,40.60414751599328,-120.01643669974766,0,15.0,0.0,True
2022-11-14 20:35:57.408278,L,0.07687878608703613,10,10,30.0,21.35958193271788,0.08807560346154486,0,125.38794487727924,-72.17170918231278,0,15.0,0.0,True
2022-11-14 20:35:57.480050,L,0.07678008079528809,10,10,30.0,9.235441002314456,0.0839314982533279,0,283.1063847020726,-69.05702437369678,0,15.0,0.0,True
2022-11-14 20:35:57.547232,L,0.07685017585754395,10,10,30.0,6.650695822735191,0.08318852641183226,0,305.284741958659,-68.65488154608123,0,15.0,0.0,True
2022-11-14 20:35:57.639547,L,0.07696413993835449,10,10,30.0,12.604786424616204,0.08206960647782494,0,225.41372575035334,-67.94918939518342,0,15.0,0.0,True
2022-11-14 20:35:57.714559,L,0.07731795310974121,10,10,30.0,19.615515409591666,0.08149009307955626,0,141.5595790025374,-67.67466852243726,0,15.0,0.0,True
2022-11-14 20:35:57.794105,L,0.07718873023986816,10,10,30.0,19.793512827197134,0.07946711966172759,0,149.83606246508126,-66.2401216405857,0,15.0,0.0,True
2022-11-14 20:35:57.874160,L,0.07683587074279785,10,10,30.0,14.437303921211885,0.07511351277529148,0,223.7036906464696,-62.93007396639257,0,15.0,0.0,True
2022-11-14 20:35:57.957048,L,0.08359622955322266,10,10,30.0,11.133126210613154,0.07214503536953083,0,263.4897917100489,-60.736435144126986,0,15.0,0.0,True
2022-11-14 20:35:58.179602,L,0.0882563591003418,10,10,30.0,12.966174776923001,0.06728174233533404,0,238.47039256353236,-57.023746020530716,0,15.0,0.0,True
2022-11-14 20:35:58.179602,L,0.08716559410095215,10,10,30.0,17.018594549644202,0.06082569098945446,0,189.53227357691154,-52.01777254513489,0,15.0,0.0,True
2022-11-14 20:35:58.219967,L,0.08758234977722168,10,10,30.0,18.639491473992024,0.008739730562023333,0,174.8698634457477,-10.366761168310022,0,15.0,0.0,True
2022-11-14 20:35:58.312040,L,0.09003400802612305,10,10,30.0,16.26443005715698,0.0017898527048397378,0,210.33260945679794,-4.816868478129135,0,15.0,0.0,True
2022-11-14 20:35:58.413604,L,0.08393597602844238,10,10,30.0,13.606744318427477,-0.0023406904384260818,0,245.50517075697525,-1.5068197299842414,0,15.0,0.0,True
2022-11-14 20:35:58.484093,L,0.08796381950378418,10,10,30.0,13.354625036538437,-0.006422155919399077,0,248.57927574625958,1.775272062975351,0,15.0,0.0,True
2022-11-14 20:35:58.572388,L,0.08785820007324219,10,10,30.0,15.32364091881222,-0.009128422666855067,0,225.00221579925105,3.9641896974827286,0,15.0,0.0,True
2022-11-14 20:35:58.660739,L,0.08706045150756836,10,10,30.0,17.595993122275345,-0.010017358437612303,0,199.52483007689534,4.701295865466196,0,15.0,0.0,True
2022-11-14 20:35:58.795328,L,0.08536863327026367,10,10,30.0,17.612949751652536,-0.05963274548497014,0,204.0265042707196,44.55203827613556,0,15.0,0.0,True
2022-11-14 20:35:58.858339,L,0.0877833366394043,10,10,30.0,15.618143421839342,-0.059366231331085165,0,232.78143804039803,44.48932566972202,0,15.0,0.0,True
2022-11-14 20:35:58.927418,L,0.08956694602966309,10,10,30.0,14.55090354755811,-0.0030393365350690365,0,247.27490854754495,-0.5702818876706632,0,15.0,0.0,True
2022-11-14 20:35:59.010475,L,0.08579039573669434,10,10,30.0,15.890178066782914,0.003009569920412305,0,230.87193246943374,-5.4115690937961425,0,15.0,0.0,True
2022-11-14 20:35:59.160261,L,0.08686494827270508,10,10,30.0,17.43281976806074,0.05406050579221527,0,214.32871957870293,-46.39836864945113,0.0321439287598338,15.0,0.0,False
2022-11-14 20:35:59.189069,L,0.08846902847290039,10,10,30.0,17.172016585522798,-0.0004133590943070584,0,221.79882041394282,-2.8061452153793573,0.0321439287598338,15.0,0.0,False
2022-11-14 20:35:59.276358,L,0.08895707130432129,10,10,30.0,16.73584125137121,-0.05507210772611592,0,229.58833097530004,41.06781229481609,0.0321439287598338,15.0,0.0,False
2022-11-14 20:35:59.367289,L,0.0907433032989502,10,10,30.0,16.639032011501925,-0.0071004182228150145,0,232.79124216672002,2.6983592314647287,0.0321439287598338,15.0,0.0,False
2022-11-14 20:35:59.454689,L,0.08609652519226074,10,10,30.0,17.95153803802399,-0.0038431369618926,0,217.48468777804953,0.10736884256292559,0.0321439287598338,15.0,0.0,False
2022-11-14 20:35:59.578647,L,0.09094834327697754,12.0,10,30.0,18.505856452466794,-0.002451627551118862,0,213.8385851040185,-0.9989242131025023,0.0321439287598338,15.0,0.0,False
2022-11-14 20:35:59.637641,L,0.09132552146911621,12.0,10,30.0,16.95671573133626,0.0019705716781773398,0,237.1164148877712,-4.5424137249627465,0.0321439287598338,15.0,0.0,False
